0,1,2,3,4,5,6,7,8
차가운 공기가 들어오는 느낌 ,숨쉴때 계속 차가운 공기가 들어와서 목이 건조해지는데 집이 춥지도 않은데 왜 차가운 공기가 들어오죠  숨쉴때만 들어와요 저만 그런거 같아요,호흡기내과,갑자기 숨쉬는게 이상해요,제가 자다가 일어났는데 어지럽고 숨쉬는게 안느껴진다고 해야 하나   숨을 오래 참아도 숨이 안차고 폐쪽에 감각이 사라진 느낌입니다   누우면 답답한 느낌도 있습니다 저 위험한건가요 ,호흡기내과,폐렴예방주사,폐렴예방주사     년  월  차  단백결합  가 를 접종하고  년 후  차   가를 맞아야 하는데 아직 맞지를 못하였습니다 지금  차   가를 맞아도 되나요  아니면  차부터 다시 맞아야 하는지요  답변 부탁드립니다 ,호흡기내과
잠복결핵양성음성,잠복결핵 검사 인터페론감마 분비 검사 를 하였는데 양성이라고 통보 받았습니다  다른 병원에 가서 한번 더 같은 검사를 진행 했는데 음성이라고 하네요 이렇게 결과가 나올수 있는건지  그럼 저는 양성인가요  음성인가요   ,호흡기내과,폐결핵 검사 질문,폐결핵 검진 결과 표기된 의사 소견서나 진단서가 필요한데어느 병원으로 가야 하나요 ,호흡기내과,독감주사 맞을 때 인데놀 복용 괜찮나요 ,독감주사 맞기 전후로 인데놀 복용 괜찮나요 ,호흡기내과
아나필락시스쇼크가 왔을 때 에피네프린 맞고 벤토린 사용해도 되나요 ,아나필락시스쇼크가 왔을 때 에피네프린 맞고  목이 부어서 숨막히는 것 같은 느낌이 들 때 벤토린 사용해도 되나요 ,호흡기내과,제가 코로나 양성 나왔는데 어쩌죠   ,제가 어제 밤부터 너무 기침이랑 가래 좀 끼구 코막히구 몸 으스스거리고 몸이 우쑥거리고    두통도 있어요 그래서 막 그러다가 오늘이서야 부모님과 소아과 갔는데요    코로나 검사 부터 하자 하셔서 했다가 기다리는데 제가 양성이라는 거에요   진짜 태어나서 처음인데    양성이여서 시청 가서 보건소 가서 거기서 또 다시 검사했는데     저 만약 양성이면 어떡하죠    모든 사람들에게 피해끼치구   그래서 울었는데    저 낼 검사 결과 나오는데 양성이면    어쩌죠  자가격리 어디서 해요  이미 소아과에서 양성이면 양성인가요 ,호흡기내과,폐렴 백신 접종하려 하는데요 질문요,  코로나 백신은 접종하지 않았고 접종하지 않을 예정입니다  부작용사례가 많아서요     몇일전에 독감 백신 접종했구요 폐렴 백신을 접종하면 코로나에 걸려도 큰 도움이 되는 작용을 한다기에     폐렴 백신을 접종하려 하는데요   세 이하는 평생 회만 접종하면 된다고 하더라구요 제가   년생인데요    어렸을적에 초중고학교에서 무료 접종하지 않았을까요  어디서 기록 볼수 없나요       이미 접종했으면 돈 십만원 주고 접종할 필요가 없을건데요      폐렴백신  초중고 에서 무료 접종하는지    좀 알려주세요,호흡기내과
난방을 틀면 어지럽고 졸려요,어릴적 부터 난방만 틀면 숨쉬기 힘들고 어지럽고 졸렸습니다 마치 지하상가에 가면 어지러운 것과 비슷  지금도 회사에서 난방을 틀면 어지럽고 졸려서 스트레스를 받지만 다들 추워하니까 뭐라 말을 못하겠어요  병이나 알러지인가요    쿠팡 파트너스 한의원 등등 광고는 차단 신고 합니다 ,호흡기내과,급합니다 코로나 키트,이거 양성 맞죠    ,호흡기내과,코로나 백신 감기,저번주 토요일날 감기 걸렸었는데 지금 감기는 거의 다 나았고 열이           왔다갔다 거리는데 내일 화이자  차 예약 되있는데 맞을수 있나요  ,호흡기내과
코로나 완치후 신속항원 음성 나올수 있을까요, 월   일에 해외여행이 계획되어 있습니다  티켓팅 호텔예약 다 해놓은 상태   그런데 오늘 목이 아파서 자가 테스트로 두번 했는데 두번다 양성이 나왔어요  내일 신속항원 받으러 갈건데 거의 양성 나올것 같습니다  내일 양성이 나온다면  주일 자가격리 치료를 하는데요 자가격리후  월   일까지는  주일 밖에 안남습니다  그런데 해외여행을 하는 국가에서 신속항원검사 음성을 요구하네요  출국   시간 전인   일날 음성나오면 됩니다  신속항원검사 음성이 나올까요   찾아보니 PCR은 바이러스 사멸균때문에   일까지는 양성이 나올수 있다고는 들었습니다  하짐나 신속항원검사는 음성이 나올가능성이 있다고 하는데 나올까요   전문가의 자세한 답변을 듣고 싶습니다,호흡기내과,감기몸살로 내과가면 코로나 백신접종 확인하나요 ,열은없고 몸이무겁고 목이조금 칼칼한데  내과가면 코로나같다고 싫어할까요  ,호흡기내과,백신 맞는데 감기 걸리면 안됨   ,백신 맞는데 열은 없구 기침이랑 콧물만 나오거든요 그럼 백신 못 맞나요   병원도 가보니까 코로나  는 의심되지 않다고 진단서 같은더 주던데,호흡기내과
코로나 격리 해제 후 한달이 지났는데도 기침이 계속 나고 편도가 부어서 밤마다 열이      도 사이를 왔다갔다 하는데 어떻게 해야 하나요  약,코로나 격리 해제 후 한달이 지났는데도 기침이 계속 나고 편도가 부어서 밤마다 열이      도 사이를 왔다갔다 합니다   약을 계속 먹고 있는데 밤마다 열이 나네요  Xray 찍었을때 문제는 없었습니다  자가키트  전문가용 RAT도 음성이 나옵니다      이러한 케이스가 있나요     어떻게 해야 하나요 ,호흡기내과,쌍수하러 가는데 수면마취중에 기침 할까요 ,제가 축농증에 걸려서 현재 기침이랑 콧물 가래가 심하거든요 자면서도 기침하는 저인데 수면마취때도 기침을 할까요    안나오게 하는 방법은 없나요  제발요 수술이 코앞이에요    ,호흡기내과,목감기증상,증상은 열  도에 기침하고 목이 쉬었고 가래 나오고 물 먹을때 목이 뭔가 부은느낌인데 목감기일까요 ,호흡기내과
코로나 후유증인가요 , 월   일에 확진돼서  월   일 격리 해제되었습니다  초반에는 몸살  감기증상 후각미각 소실 있다가 중반부터는 다 괜찮아지고 후각 미각 소실 증상만 남아있었습니다  현재까지도 그때보단 덜하지만 여전히 후각 미각 소실 증상이 있는데요  오늘 오후부터 갑자기 숨 쉬기가 힘들다는 느낌이 들더라고요   평소 숨 쉬었던 게    이라 하면 지금은   정도로 숨 쉬는게 살짝 버겁다는 느낌을 받았습니다  코로나 후유증일까요  그러면 좀 있으면 괜찮아질까요   참고로 나이는 고 입니다,호흡기내과,일주일 전 쯤 부터 왼쪽 쇄골 밑에 통증이 갑자기 생겼습니다  누르면 아프고 기침이나 숨을 크게 들이마시면 통증이 좀 심하구요  붓기도 조금 있,일주일 전 쯤 부터 왼쪽 쇄골 밑에 통증이 갑자기 생겼습니다  누르면 아프고 기침이나 숨을 크게 들이마시면 통증이 좀 심하구요  붓기도 조금 있는데 혹시 무슨 증상인가요      살 남자이구요 지병같은 거 일지 겁나서 알고싶습니다  ,호흡기내과,코로나  독감  감기  중에 뭔지 알려주세요  그리고 이상태로 내일 화이자 맞아도 되나요 , 증상    목이 칼칼   맑은 콧물   열             재채기   뒷목 허리 근육통   살짝 몸살기운  코로나  독감  감기  중에 뭔지 알려주세요   그리고 이상태로 내일 화이자 맞아도 되나요 ,호흡기내과
백신 차 맞은지  일 됐는데요,계속 자다가 가슴이 아프고 숨을 잘 못쉬겠어서 일어나는데 부작용인가요 ,호흡기내과,폐렴백신 맞고 주의사항,폐렴백신 맞고 기침감기약 먹어도 되나요 ,호흡기내과,감기기운 있는데 백신맞아도 되나요 ,지금 감기기운 있는데 백신을 맞아도 되는건가요  ,호흡기내과
먹기만 하면 진땀이나요 왜 그럴까요,몇 칠전 위내시경을 하다 구토를 해서 못하고 다음에 수면 내시경 하려고 못했는데 먹기만하면 진땀이 흘러요 그리고 기운도 없고,호흡기내과,숨이 잘 안 쉬어져요,제목 그대로 숨이 잘 쉬어지지 않고 가만히 있어도 숨이 약간 찰 때가 있습니다  일주일 조금 안 되게 계속 이러네요   깊게 호흡해도 폐활량을 전부 활용하지 못한다는  깊게 숨쉬지 못하는 느낌이 자주 들고요  왜 이러나요  요즘 운동을 잘 안 하고 늦은 시간 섭취를 잦게 했는데 이것도 원인이 될 수 있나요  이러한 증상이 나타나면 어떤 게 의심되는지  또 어떻게 해야 하는지 알려 주시면 감사하겠습니다  백신은  차를 맞고  개월이 다 되어갑니다  부작용은 아닌 것 같아서 여쭤봅니다  ,호흡기내과,독감주사 무료 대상자가 몇살부터 인가요 ,독감주사 무료라고 들었는데 혹시 성인은 만 몇살부터 무료 대상자 인가요 ,호흡기내과
목이 조이는 느낌이 들어요,목이 조이는 느낌이 들고 해서 숨쉬고 힘든니다  그리고 목과 가슴 중간 부분도 답답하고 심장도 조금 답답 합니다    시간에세  시간 정도 지나는데도 그렇습니다  온몸이 힘이 없는 느낌이었고 저녁 먹다나서  시간즘 뒤에 갑자기 숨쉬기 힘들어 습니다 그런데 한 번씩 가다가 그런 적이 있었습니다  왜 그러까요   코로나 주사는 안 맞았었요 그리고 코로나도 아니에요,호흡기내과,숨이 끝까지 시원하게 안쉬어져요,호흡을 할 때 숨이 끝까지 시원하게 쉬어지지가 않아서 항상 답답해요 원인이 무엇인가요,호흡기내과,감기증상 코로나 백신,다음주 월요일에 화이자 백신을 맞는데요  감기기운이 좀 있어서요 콧물나고 코맹맹이 소리 나요 기침은 살짝씩 나구요 열 없어요 백신 맞아도 될까요  참고로 중학생입니다,호흡기내과
코로나 인가요 ,한  주째 아프다 안 아프다를 반복해서 코로나 자가키트를 달고살았는데 할때마다 죄다 음성이더라구요    그러다  일전쯤부터 감기몸살 증상이 보이면서 저녁엔 열도 나고  미각 후각도 거의 잃은듯하고  흉통과 가래  마른기침  재채기를 엄청 많이 하는데 오늘 선별진료소를 가니 또 음성판정을 받고 집에왔습니다    학생이라 학업에 지장이 많아 그러는데 도와주세요 pcr을 해보는게 나을까요 ,호흡기내과, 나눈질문   발이 너무 노래요   손도 노랗고 등도 많이 노랗고   ,왜 몸이 이렇게 노란거에요    등 손바닥 발바닥만 노래요  왜그러죠  ,호흡기내과,숨을 내쉴 때 통증,최근 들어서 숨을 크게 내쉴 때 명치에서 약간 왼쪽에 통증이 있는 것 같은 데  혹시 위의 증상이 나타나는 대표적인 병이 무엇이 있는 지 알 수 있을까요   숨을 들어 마실 때는 통증이 없는 데 숨을 내쉴 때는 거슬리게 통증이 있습니다  그리고 그 아픈 명치 라인으로 왼쪽 갈비뼈 쪽도 잠시 뭐로 찌르는 듯한 통증이 잠시 있었어요 ,호흡기내과
코로나    오미크론 확진 후 격리해제되었는데 기침이 심하게 나요   혹시 이거 전염성이 있나요 ,제목 그대로 학교에서 코로나    오미크론이 확진이 되었고 확진 판정 받고 격리 해제된지  일정도 되었는데 후유증인건지 완치가 안된건지 기침이 심하게 나요   혹시 기침에 전염성이 있나요  아니면 그냥 저랑 뭔가 나눠 먹거나 그래도 전염이 될 수 있나요   아직 기침 약을 먹고 있는데 괜찮은 건가요   내공    걸었습니다 후유증 빨리 없어지는 법이랑 관리법 코로나  를 제가 전염시킬 수 있는지가 궁금합니다 ,호흡기내과,기관증확장증에 아노로      엘립타 사용할 필요가 있을까요 동네 가정의학과에서 처방받았는데 대학병원 호흡기내과에선 기관지확장증과 상관없는 약이,기관증확장증에 아노로      엘립타 사용할 필요가 있을까요 동네 가정의학과에서 처방받았는데 대학병원 호흡기내과에선 기관지확장증과 상관없는 약이라고 해서요,호흡기내과,숨쉴때 가슴통증,숨쉴댸 왼쪽 가슴 통증이 있습니다 정확히 말하자면 갈비뼈 끝쪽 안쪽이 아파요 가끔 숨쉴때 쥐어짜듯이 아픈 통증이 있잖아요 그게 대게는  분 정도로 짧게 끝나는데 저는 지금  일째 계속 되고 있습니다 일상생활을 할때 너무 힘들고 아파요       크게 숨을 들이키고 내시면 괜찮아질까 싶어서 몇 번 해봤는데 무용지물이고 내과에서 엑스레이랑 위 내시경을 했는데 가스가 좀 있다 위염이 있다 이정도였습니다    혹시 이 증상이 계속되면 큰 병에 걸리는 거 아닌가요  이 증상을 어떻게 하면 빨리 없앨 수 있을까요  ,호흡기내과
맥박 정상인가요 ,사람 맥박 정상이  분당       회가 정상이잖아요  근데 하루종일 일하면서    에서    을 계속 아우르는데 그것도 정상인가요 ,호흡기내과,B형간염 검사  폐결핵 검사 전에 주의사항,안녕하세요  내일 B형간염 검사와 x ray 흉부 폐결핵 검사를 받을 예정인데  건강검진은 전날 금식하잖아요  마찬가지로 주의사항이 있나요  또 점심에 타이레놀 두알을 먹었는데 영향을 미칠까요 ,호흡기내과,독감주사 백일해주사,저희 아빠께서   세 이신데  작년  월에 폐암 수술을 받으셨습니다  그리고 올해  차까지 코로나백신 접종을 하셨구요 마지막 접종일       그리고      일 독감접종을 하셨습니다  궁금한 사항은     에 백일해 예방접종을 하려 하는데  T dap    괜찮으실까 궁금합니다  독감 접종 후 약  주일 정도 지난 시기인데 백일해 예방접종까지 해도 될까요 ,호흡기내과
코로나 잠복기간 전염력,혹시 코로나 잠복기간에도 전염력이있나요 ,호흡기내과,어제  차 화이자 백신 맞았어요,어제  차 화이자맞았는데 지금 머리 쪼금아프고 몸살기운 왔는데 밖에잠시 나가서 고기먹고와도 되겠죠   ,호흡기내과,흡연 철분제,흡연자들은 철분제 복용하면 노화가빨리온다는 소릴들엇는데 맞나요  ,호흡기내과
코로나 걸리고 기침이 심해요, 월  일에 코로나 걸리고  일날 해제 되었는데  계속 기침이 심하고 밤에는 더욱 더 심합니다   폐에 가래가 낀것 같은 느낌 들고  목소리도 가래 낀 목소리가 납니다   코로나 끝나고 바로 병원에 진료 받아서 약을  일 치 받아서 먹었는데도 불구하고  기침은 더 심해지고 폐 소리가 안좋아서 폐 CT나 검사를 받으려 가보려고 합니다  부산 해운대에 폐 CT 가능 병원 있으면 알려주시면 감사하겠습니다  ,호흡기내과,코로나 걸린건가요    ,저희 아빠가 갑자기 열이     도 까지 오르고  기침도 조금씩 하고 계셔요   혹시 이거 코로나 인가요       ,호흡기내과,마른기침 가래 약간피섞임,병원을 가려는데 내과를 가야되요 아님 이비인후과를 가야되요  지금 약간 역류성식도염두 있는거같아서요 마른기침은 갑자기 목이 간지러우면서 자다가 몇번하고 평상시는 잘안하고 하는데 혹시나해서 병원가볼려구요,호흡기내과
멀미나는기분,어느날 머리 정수리쪽에 따끔하고땡기는 느낌 하루이틀정도 오래가더라구요 그때부터가끔씩 또그러고 그이후부턴가모르겠는데 계속멀미나는기분이에요 머리도 안맑고 어질하고 속도메스껍고 가슴에뭐가막혀있는듯해요   머리가문제인지 위장쪽이 문제인지모르겠네요 미용실갔는데 한군데 십원동전만하게 원형탈모현상도   그냥 내과가서 진료받으면될까요,호흡기내과,요즘 콧물이 나고 기침에 가래가 끓는데 코로나인가요 ,열은 없는데   저번주 토요일에 pcr 검사 음성이었는데   그냥 단순 감기인건가요 ,호흡기내과,독감 주사 내일 병원 갈건데 그냥 병원 가면 주사 접종 해주나요  ,독감 주사 내일 병원 갈건데 그냥 병원 가면 주사 접졷 바로 해주나요  궁금해서 물어 봅니다 ,호흡기내과
코로나 미접종자 가족 확진,저희 아빠가 오늘 자가키트로 양성됬는데 저는 오늘 음성나왔거든요 근데 확진자 가족중에 미접종자는  일 등교 중지라는데 저 등교 중지인가요   차만 접종했어요,호흡기내과,허리신전 가슴 피면 숨쉬기 힘든데 등구부리면 다시 편해져요 왜그런가요 ,원리가 있는건가요 아님 제가 이상한건가요 ,호흡기내과,독감예방접종  백일해주사,저희 아빠께서   세 이신데  작년  월에 폐암 수술을 받으셨습니다  그리고 올해  차까지 코로나백신 접종을 하셨구요 마지막 접종일       그리고      일 독감접종을 하셨습니다  궁금한 사항은     에 백일해 예방접종을 하려 하는데  T dap    괜찮으실까 궁금합니다  독감 접종 후 약  주일 정도 지난 시기인데 백일해 예방접종까지 해도 될까요 ,호흡기내과
기침할 때 헛구역질,코로나 완치 후 휴유증으로 한달 동안 기침을 하고 있어요  병원에서 약 처방 받고 복용해서 기침이 잦아들긴 했지만 안 멈춰요  그런데 며칠 전부터 기침을 하면서 헛구역질이 나오더라고요  밥 먹을 때도 가끔 그렇고 가만히 있을 때도 그렇고요  이것도 일종의 휴유증인가요  아니면 위에 문제가 생긴 걸까요 ,호흡기내과,b형간염 이랑 폐결핵 검사 비용,제목 그대로 입니다 요번에 대학 긱사 신청때문에    검사를 받으라는데 얼마정도 들까요 ,호흡기내과,코로나 감기,어제부터 열이 나는 것 같아서 열 재보면 열 없고 목 따끔거리면서 콧물 많이 나오는데 혹시 코로나 일까용     코도 살짝 막혀요 기침은 많이 안합니당 오늘 검사 받고 오긴 했는데 걱정돼서 질문 합니다 ,호흡기내과
가슴이 숨이 꽉 막힌 것처럼 답답하고 트림도 안 나옵니다,어제 콜라를 잘 못 마시고 난 이후로 명치 쪽이 메스껍고 쓰리면서 숨이 꽉 막힌 것처럼 트림도 안 나오고 답답합니다  항상 긴장상태여서 그런지 평상시에도 답답함이 있구요  어딜가든 항상 주변 사람이 어흑하면서 헛기침을 하거든요  신경증이라고 알고는 있는데 이런 소리를 들을수록 더 답답해지구요  어떻게 해결할 수 있나요  역류성 후두염이 있어서 위장약을 복용하고는 있습니다 ,호흡기내과,천식스테로이드제 평생사용,천식약 포스터      hfa를 거의   년정도 쓰고 있습니다 폐기능검사에서 폐쇄성폐질환 소견을 보여 지금까지 쓰고있는데 평생써도 무방한지 궁금합니다,호흡기내과,염증있을때 독감주사 맞아도 되나요,고양이에게 손가락을 심하게 물려 많이 찢어졌는데 연고 바르고 있습다  내일 독감주사 맞으려고 하는데 염증있어도 독감접종 해도 되는지요,호흡기내과
천식과 폐기능검사 관련 질문,천식 증상에 쌕쌕거리는 소리가 난다고 알고 있는데 전 천식판정 받았음에도 쌕쌕거리는 소리가 나질 않아요 제가 잘 못 들은 걸까요  쌕쌕거리는 소리 나는지 어떻게 확인하죠  천식이어도 쌕쌕거리는 소리 안 날 수 있나요  그리고 폐기능검사 할 때 세게 불었는지 약하게 불었는지 잘 모르겠는데 일단 결과로는 천식이 떴어요   천식이 아니어도 약하게 불면 천식이 뜰 수도 있나요 ,호흡기내과,엑스레이로 패혈증증상을 알아볼수있나요 ,엑스레이로 패혈증인지 아닌지 알아볼 수 있나요 ,호흡기내과,호흡기 내과 대학병원 검사시간,기침이 한달반이상 지속되서 동네병원을 수차례 다녔지만 증상이 호전되지 않아서 진료의뢰서를 받았습니다  만성기침이 호전되지 않는다는 내용으로요  그래서 대학병원에   월  일에 예약까지 되어있는 상황인데요  궁금한것은     어쩌면 누구나 하는 당연한 기침인데 내가 너무 예민하게 받아들이는것은 아닐까  하는 생각이에요  기침을 하루에 수도없이 해야지만 만성기침인가요  그정도는 아니거든요  하루에 몇번씩 간헐적으로 기침이 나오는데 이런것은 만성기침이라고 할 수 없는것인지 궁금합니다      대학병원에서 여러가지 검사를 받는데 총 시간이 얼마나 걸리는지 궁금합니다 하루만 방문하면 끝나는지 아니면 며칠간 계속 방문해야하는지   감사합니다,호흡기내과
혹시 제가 천식인가요 ,  년 후반부터 가슴이 답답하고 숨 들이킬 때 좀 거세게 되는것 같아요  혹시 코로나 인가 해서 자가키트랑 pcr도 받았는데 음성이고 계속 기침이 나와요  어릴때부터 아토피가 좀 심했고 이상하게 요즘따라 아토피도 심해지고 기침이 자꾸 나와요  걱정되서 계속 자가키트 하는데도 깔끔하게 음성이라고 뜨고  이상해요   누가 좀 알려주세요   ,호흡기내과,임시선별소,지금 임시선별소에서도 자가키트로 검사후에만 pcr 가능한가요  ,호흡기내과,코로나백신,내일 화이자 맞는데  지금 약간 감기기운 누런 콧물  기침  목아픔  이있는데 맞아도될까요 ,호흡기내과
친구 코로나,제가 친구랑 밥도 먹고 이것저것 다했는데 친구가 양성이면 저는 어캐되는거죠 격리되나요  그리고 pcr 검사 우선순위인가요  참고로 키트했는데 음성 나옴요,호흡기내과,코로나 자가격리,토요일날  시간 만난 아는 언니가 자가키트로 양성을 받아서 일요일날 검사해서 월요일날 오전에 양성을 받았는데요 저는 밀접첩촉자인가요  덴탈마스크  차접종   일  차 아직  그럼 그 기준이 월요일부터  일인가요 ,호흡기내과,  월  일 독감예방접종을 맞았습니다  제가 얀센접종자라서   월  일경맞음  코로나백신 언제쯤 맞으면될까요  ,  월  일 독감예방접종을 맞았습니다  제가 얀센접종자라서   월  일경맞음  코로나백신 언제쯤 맞으면될까요  ,호흡기내과
폐섬유화 증상 무엇이 있나요 ,  폐섬유화 증상 무엇이 있나요     폐렴 증상은 무엇이 있나요     섬유화 완치 가능한가요  완치 불가능이면 섬유화 되는걸 멈추거나 할수 있나요     폐렴은 완치 가능한가요 ,호흡기내과,코로나 증상,토요일에 확진자랑 접촉해서 월요일에 검사를 받고 음성이 나왔는데 화요일 오늘  아침에 목이 간지럽고 기침이 나올거 같아요   코로나일까요       주말에 한번 더 검사를 받으러 갈 예정인데 너무 걱정이에요,호흡기내과,수면중 심박수가 증가하는 원인,제가 수면중에 특정시간에 심박수가    가까이 급증하는데 수면중에 심박수가 급증하는 이유가 있을까요 ,호흡기내과
딸국질이 멈추질 않아요,잦은 딸꾹질로 문의드립니다  한번시작하면 짧게는    일 길면 일주일동안 지속됩니다  잠깐 멈췄다가도 나고 멈췄다가 나고해서    지금 미칠껏같습니다    요즘은 딸국질과 같이 트림   신물   음식물등 올라오네요    목에 뭐가 계속 있는 느낌도 듭니다    저번에는 딸꾹질이 계속나면서    일 정도 지날무렵 머리가 핑 돌면서 어지러웠던 적도 있는데 왜 그런걸까요   ,호흡기내과,저 코로나인가요 ,어제 친구랑 난장 집 앞에서 정자 같은데서 밤  시부터  시반까지 맥주 마셨어요 밖에서 시골이고 한적함 아무도 없었고   패딩이랑 좀 얇게 입고 나가긴 했는데 밤   시 자기 전까진 아무 이상 없다가 아침에 일어나니까 목이 간질간질하고   기침 약간 하구요 열은 쟀는데     도     도 이러고 지금은 아예 열 없고요         목만 겁나 간지러움 평소에도 마른 기침 많이 하구요    그냥 몸살 처럼 약간 춥고 콧물 살짝 흐름,호흡기내과,어지러움 메스꺼움 시야가 흐리고 기운이 없네요  ,오늘 아침부터 갑자기 어지럽더니 메스꺼리고 눈앞이 흐려지면서 기운이 없더라고요 한달 넘게 못쉬고   시간 넘거 일만 하기는 하는데 한번도 이런적은 없어서    왜그럴까요  ,호흡기내과
코로나 증상 한달가까이 지속될수 있나요  ,저희 어머니가  코로나에 걸리셨는데  몸이 아프셔도 자가키트엔 음성만 나와서 그냥 생활하시다가 병원에서 양성판정을 받으셨거든요  근데 몸살 증상만 거의 한달가까이 겪고 계세요  백신은 한번도 맞은적 없으세요  보통 주변 사람들 보면 일주일 격리하면 아픈 증상들은 다 사라지던데 병원에서 약 처방받고 먹어도 열도 안내리고 그대로 라고 하는데  원래 이렇게 증상이 오래 갈수도 있는건가요   혹시 최악의 상황에 증상이 더 악화되고 멈추지 않는다면 어떻게 해야하나요     병원에 전화해서 입원치료를 받아야하나요   자세히 좀 답변해주시면 감사하겠습니다   ,호흡기내과,오미크론 증상 일까요  , 일 전부터 목이 빨갛게 부었고 물 콧물이 나와서 동네 병원에서 약을 지었는데 약이 안들고 콧물이 심해지고 기침도 조금씩 나와요  머리도 조금 아픈데 오미크론 일까요  ,호흡기내과,폐렴구균 단백결합  가  는 몇차까지 맞아야 하나요 ,질병관리청에서 조회해보니 저는  폐렴구균 단백결합  가   를  차까지 맞았다고 되어 있는데요 이건 몇차까지 맞아야 되는건가요 ,호흡기내과
코로나 확진 후 말하면서 밥먹으면 숨이 참,안녕하세요 저번주에 코로나 확진되고 이번주 격리 해제되었는데요 아직까지 기침 가래 두통이 있는 상태입니다 오늘 오랜만에 친구랑 같이 밥을 먹었는데 말하면서 밥을 먹으니까 숨이 차더라고여 원래 한번도 이런적이 없었는데요   폐에 문제가 생긴건지 병원을 가서 검사를 받아야 한다면 어떤 검사를 받아야하는지 알려주세요  ,호흡기내과,저 감기 인가요  감기증상 궁금 ,이 시국에 좀 그렇지만 그저께 부터 목이 부은 느낌이 있었어요 침 삼킬 때 목이 좀 아팠죠 근데 오늘은 목이 안 아프고 기침이 나더라고요 코로나는 아니고  집에만 있었음  그냥 감기 같긴 한데 감기가 정확히 맞는 진 모르겠어요 열은 없고요,호흡기내과,모더나  차 접종 후 두근거림이 계속 됩니다 ,  월  일에 모더나  차 접종을 하고  일째부터 두근거림이 있어서   일에  차 접종했던 내과를 찾아 심전도검사랑 엑스레이검사했는데 정상이라고 나왔습니다  그러곤 지금까지 증상이 지속되고 간헐적으로 찌르는 느낌이 있는데 검사후에 부작용이 나타날수도 있나요  다시 내과를 가봐야할까요 ,호흡기내과
 주째 기침이 안 멈춰요,제가  월 말부터 지금까지 거의  주째 기침을 하는데 이유가 뭘까요  환절기때도 감기 잘 안 걸리는 튼튼한 사람인데   천식이나 호흡기 질환 비염 등등 기저질환 없었구요 코로나도 걸린적 없는데    그렇다고 감기는 아닌거같은게 단순 기침 빼고는 증상이 하나도 없어요 목이 간질거려서 연속적으로 기침이 계속 나와요 초기에는 밖에서 찬 바람 쐴때만 기침을 했었는데 이제는 집에 있어도 자꾸 기침을 해요   혹시 기침성 천식일 가능성이 있을까요  외출해서 찬 바람 쐴때랑 밤에 기침이 좀 심해지는거같아요,호흡기내과,코로나 검사,목 아픔  콧물   가래  기침 등 코로나가 의심 되는 증상이 있는데요   자가진단키트로 먼저 검사 해보고 양성 반응이 나와야 보건소 가서 검사 받을 수 있다는데 자가진단키트가 약국 편의점 다 품절이라 살 수가 없어서요    이런 경우에는 어떡해야 하나요   인터넷으로 배송 시켜도   일 이후에나 도착 예정이라던데   ,호흡기내과,폐렴 백신 중복 접종해도 괜찮은가요 ,최근  코로나 때문에 백신들 확인하는 중인데 어머니가 예전에 폐렴 예방접종을 맞으셨는지 안맞으셨는지 기억이 가물가물하시다면서 헷갈린다고 하시네요   병원에 문의해본 것 까지는 기억이 나시는데 정확히 어떤것을 맞았는지  진짜로 맞았는지 기억이 안난다고 하십니다    예방접종도우미 사이트에 가봐도 폐렴 예방접종 여부가 안뜨네요      이 경우  다시   가랑   가를 맞혀드려도 괜찮을까요  만약 어머니가 예전에   가를 맞으셨으면 중복 접종이 되는 것일텐데 이래도 괜찮은가요     어머니 나이는 현재   세이십니다  걱정되어서 질문드립니다  ,호흡기내과
