0,1,2,3,4,5
코로나 확진경로,  일부터 코막혔고   일부터 목이 칼칼하고 근육통도 있었습니다  시간이 지날수록 오한이 있었고요  그래서 자가키트로 양성 보고 기숙사에서 집으로 왔습니다    일에 확진받았고 오늘로 격리  일차 됐습니다  솔직히 마스크 잘쓰고 다녔고 학교 기숙사에서 잘때도 마스크 잘 끼고 잤는데 걸려서 억울하거든요    그래서 어디서 걸렸는지 생각을 해봤는데 마음에 걸리는부분이  개정도 있는데 어떤게 걸릴 확률이 높았는지 알려주세요       일에 롯데몰가서 향수 시향을 했습니다  마스크 잠깐 내려서 향만 맡았습니다  그 사람이 확진인지는 모르겠지만 그 사람이 손으로 막 비벼서  만져서  시향지를 줬는데  그 사람이 확진이라면 가능성이 있을까요      기숙사에서 이미 룸메 두 명이 확진이였습니다    일에 한명 확진    일에 다른 친구 확진  이렇게 두명이 확진되고  인  실에서 저포함  명은 음성나왓습니다  그러고   일에 확진됐던 애가 격리 해제되고 일주일동안 생활했는데 그 사이에 그 친구 오빠도 확진됐다고 들었는데 주말에 집을 다녀왔습니다  일요일에 기숙사에서 그 친구가 제 음료를 빨대로 마셨는데 제가 그걸 깜빡하고 그대로 입대소 마셨습니다   격리 해제됐지만 집에 확진자가 있어서 전파력이 있을 수 있지않나요    저는 솔  히  번인거 같은데 잠복기 생각하면 아닌것 같구  어떤게 확률 높은 지 알려주세요  아 그리고 지금 제가 오미크론인것같은데 오미크론과 그냥 코로나 차이점도 적어주시면 감사하겠습니다  내공   걸게여,가정의학과, 개월지난 요구르트 실수로 마셨음,그 미니 요구르트 말구 좀 큰거 있잖아요 그게  개월 지났는데 모르고 다 마셨나봐요     병원에 가봐야 하는거 아닌가요    전문가가 답 해주시길 바랍니다 ,가정의학과
코로나 격리해제후 일상생활, 일 격리하고 그 이후   일이 되었는데요   일   일   일 지났어요  미확진 가족들 마스크 벗고 활동해도 될까요 ,가정의학과,코로나 증상인거 같은데 음성,코로나 증상처럼 목아프고 코가 맹맹하고 막히고 그래요 재채기 하고 근데 자가키드 혼자 했는데 음성이여서 혹시 몰라 병원가서 했는데 음성나왔어요 pcr검사 하고 싶은데 양성이여야만 할수 있는걸로 아는데 진짜 인가요   아님 얼마정도 하나요 ,가정의학과
유방암 수술 앞두고 체력 보강 어떻게 하면 좋을까요 ,유방암 수술을   일 앞두고 있습니다  면역력도 약해서 감기도 잘 걸리고 쉽게 피곤해지는 체질입니다  단백질 섭취 위해 고기를 먹어도 될까요  안좋을 거 같아 안먹으려고 하는데 살고기 위주로 조금씩 먹는것은 괜찮을까요  수술 앞두고 주의해야할 음식과 좋은 음식 알려주세요 그리고 비타민C와 비타민D 메가도스를 하고 있는데 괜찮은지요 ,가정의학과,허벅지 살 빼는 법,안녕하세요 저는 올해 중   되는 여학생 입니다  제가 작년 까지만 하더라도 말랐는데 갑자기 폭풍성장해서 지금 제 키가    에다가 몸무게가   kg나 나가요     허벅지랑 골반이 많이 굵어   졌는데 허벅지 살빼는법이 없을까요     ,가정의학과
당뇨병초기 발에통깁스 운동량제로 ,나이는  세 남성입니다 몸무게  kg 신장   cm 이라 비만에 해당된다고 인바디에 나옵니다 최근 혹시 당뇨가아닐까싶어 당체크기기로 피뽑아 테스트른 해보니 공복에        이정도 왔다갔다하며 식사후    정도 됩니다 혈압은       정도 전후이구요 건강검진결과 지방간 콜레스테롤이 수치가 높아 체중조절중에 있었는데 발목인대수술을 해서 통깁스를 한상태입니다 운동량이 전혀없어 하루에 한끼식사만 하고 있지만 그래도 살이찌는것같고  혈당이 너무 오르는거 같습니다 이대로 한달을 가만히 있다가는 만성당뇨와 고혈압환자에서 벗어날수없을거같은데 걷지를 못하는 한달 어찌 관리하면 될까요  저는 당뇨초기일까요  살려주세요  참고로 어머님이 당뇨고혈압 있으십니다,가정의학과,앉거나 누워있다가 일어서서 어지러움,누워서 휴대폰 한    시간 정도 보거나 앉아서 컴퓨터 한    시간 정도 하다가 일어나서 밥 먹으려고 하면 살짝 어지럽고 일어나서 아무것도 안 먹었는데 이상하게 배부르고 아무것도 안 먹고 싶고 살짝 두통이 있습니다  조금 심한 날은 하루에 아이스크림   개 나 음료   캔  만 먹고도 배가 안 고픈 날이 있습니다  나만 그런게 아니라 친구들도 그럴까 친구들에게 물어보니 자기들은 안 그런다면서 병원이나 가보라더군요 그래서 이런 이유가 있을까요  키    cm에 몸무게   kg으로 아주 정상적인   대 초반 남자입니다 ,가정의학과
중  급 복통, 일 전 부터 복통이 시작되면서 열이     도 이상 나고 계속 토할 거 같아서 보건실만 들락날락 하고 계속 춥더라고요 병원가기엔 좀 애매해서 물어봅니다  코로나는 이미 걸렸었고    학년 때 사고치고 다녀서 공부도 안했는데  학년 때 갑자기 열심히 하다보니 학업 스트레스도 받고 항상  시에 일어나니 피곤하기도 하구요  막상 학교가면 잠은 안오는데 공부 해야하니 너무 스트레스 받고 계속 배가 아파요 병명같은 게 있을까요    ,가정의학과,코로나 확진,백신  차도 안맞고 항원검사에  줄나와서 그러는데 혹시 경험담이나 정보 알려드리실분들은 감사하겠습니다 ,가정의학과
그냥 목감기인가요  코로나인가요 ,어제 화요일 아침부터 목이 너무 아팠어요  두통도 심했고  몸이 뜨거운 것 같아 열을 재니   도 정도 나왔어요   몸은   도 정도였고요   그날은 학교에 가지 않고 신속항원검사를 받아보니 음성이였어요  오늘 아침 열 인후통 증상이 있었지만 자가키트에서 음성이 나오는 걸 확인하고  학교에 갔는데요  학교가 끝난 뒤 집에 오니 열이 펄펄 끓었고요  목은 칼칼하고 침 삼킬 때마다 목이 너무 아팠어요   잠이 왔고 일어나보니 몸이 심각하게 뜨거웠고요  현재 열을 재니   도네요  약 먹기 위해 밥을 먹는데요  음식 맛이 느껴지지 않아요   진짜 미세하게 느껴져요   그냥 심한 목감기 일까요  개인적으로 양성인 것 같은데 엄마는 그냥 목감기라네요  양성이 맞다면 왜 신속항원검사에서 음성이 나왔을까요   긴 글 읽어주셔서 감사합니다,가정의학과,신속항원검사 진단서,언니가 신속항원 검사 했더니 양성 나왔습니다   지금 pcr검사 기다리고 있는 중이고요   그래서 학교 쌤께 말했는데 쌤이 학교 나오지 말라고 하셨어요 그리고 내일 진단서 가지고 잠깐 나오라고 하셨는데 신속항원검사 진단서 말하시는건가요  아니면 pcr문자  그거 말하는건가요   병원에서 신속항원검사 진단서는 안 주고 양성이라고만 하셨대용   병원에서 달라고 하면 주겠죠 ,가정의학과
배꼽 관리하는법,전에 누구한테 들었는데 배꼽 때 파다가 기절했다고   실제로 기절하나요 그냥 더러운채로 놔둬야하나요,가정의학과,종아리성형 고민중인데요 ,종아리가 굵어서 항상 스트레스 거든요  그래서 종아리성형 받아볼까 하는데 어떤거 받아야 하나요  보통 보톡스 많이 하던데 보톡스 맞으면 될까요 ,가정의학과
담관담석 제거후 발열,아버지가   세이시고  년전 힘이 빠지시면서 걸음이 불편하셨는데 일주일전 고열이 나시면서 걷지를 못하셔서 응급실로가서 검사한결과 담관결석이라고 응급실에서  틀동안 금식을 하시면 기력이 떨어져 아에 움직일수 없을정도로 힘이없다고 하시며 고열이 안떨어져  일동안 항생제를 맞으시고 열이 떨어져 바로 특수내시경을 하셔서 담관에 담석을 제거 하셨습니다 담즙배양관을 하셨고 특수 내시경마치고 다음날부터 미음으로 식사를 하시고 계시는데 갑자기 고열과 오한이 오시며 산소포화도가    까지 떨어져 산소호수를 코에 달고 산소포화도    으로 안정되셨는데  내시경 마치고 하루지나 열과오한 산소포화도의 증상이 나타나는 이유가 궁금합니다  그리고 앞으로 식사와 영양섭취로 기력을 되찾을수 있는지 담즙배양관은 언제 제거가 되는지 궁금합니다   ,가정의학과,디에타민 먹으면 왜 기분이 좋아지나요 ,넥사론정도 따로 먹고있는데 디에타민이 훨씬 효과가 좋은거 같아요 넥사론정은 항우울제고 디에타민은 식욕억제제인데 왜 디에타민을 먹으면 이렇게나 기분이 좋아지나요  계속 이 기분으로 살고싶어요 디에타민이 내성 생긴다는건 식욕 억제 말하는 건가요  이렇게 기분이 좋아지는 것도 계속 복용하면 점점 줄어드나요   디에타민이랑 비슷한 계열의  장기 복용 가능한  항우울제 없나요  제가 먹고있던 항우울제보다 훨씬 좋아요 너무너무 좋아요   가격이 너무 비싸긴 하지만   디에타민 독하다 들어서 디에타민이랑 비슷한 약 없나요,가정의학과
코로나 증상,제가 저번주 수요일날 밀접접촉을 하고 나중에 열이랑 목이 아프고 기침도 나왔는데 항원검사  번이나 했는데도 계속 음성이 나오는데 대체 뭘까요   내공   ,가정의학과,이런말 해도 될지 모르겠는데  ,저 코로롱 걸리는게 낫다고 생각들었어여 모든상황에선 아니지만 지금 같은 상황이 또 상간다면 차라리 코로롱에 걸리는게 낫다고 판단해여 지금 친구들중에서도 확진이 나오고 저희 가족도 나오는데 저만 안나오고 있어여 이걸 다행이긴 한데 제가 일상생활을 하기 너무 두려워요 음성이구나 생각하고 나갔다가 양성이면 다른분들깨 너무 죄송하고 또 안나가자기엔 제 가야하는곳등을 못가니 진짜 미치겠어여 차라리 코로나 걸리고 나서 치료를 받으면 맘이 편할텐데   저도 전에는 절대 걸리지 말고 마스크 잘쓰고 다녀야지 이랬는데 이제는 집에서도 마스크 밖에 나가기도 무섭고   힘드네여,가정의학과
과수면  오한  두통 등이 있어요 왜 그런걸까요  ,증상이 시작된 지는 얼마 되지 않긴 했는데 잠을 정말 하루종일 잡니다  온종일 잤어요   한 이틀 전엔가 스트레스를 받아서 그런지 잠을  시   이 되도록 잠들지 못하고  시   에 일어났거든요  그 당일에는 괜찮았는데 다음날부터 하루 종일 잤어요  원래 이렇게 많이 잔 적은 없어요  오한도 있고 소름 돋듯이 계속 그러고 머리가 아파요  오한 같은건 꽤 됐는데요    체중도 원래 좀 고무줄 같았는데 쪘다가 다시 막 한  키로 정도   이번달에 빠진 것 같아요  원래   에서   정도 되고 그랬는데 살이 빠지기 시작하더니 지금은   키로예요   배도 안 고프고요   근손실일까요 아님 그냥 일시적인 스트레스 때문에 그러는걸까요   제가 새로운 학교로 진학하긴 했거든요  ,가정의학과,코로나 확진자 책,코로나 확진자인데 공부할 때 썼던 책들은 코로나 완치되면 버려야 하나요  아직 덜 썼고 두고두고 봐야 하는 개념노트인디,가정의학과
코로나 초기증상이 일주일넘게  ,동거가족이 일주일 전에 코로나 확진되었었고 저는 확진자가 확진받은 그 날부터 분명 목이 살짝 아팠거든요   그래서 아 초기증상인가보다 했는데 동거가족이 격리 풀린 지금까지 계속 같은 증상이에요   원래 초기증상이 이렇게 오래 가나요  아니면 지금 제가 걸린건데 증상이 약해서 모르는건가요   ,가정의학과,코로나 걸렸는데용,저희 가족이 전부 다 걸렸는데 그럼 가족끼리도 다 붙어 있어도 되나요  그 사람이 썻던 물건도 만져도 되나요  만약 한 명이 완치를 하면 다시 재감염이 될 수도 있나용 ,가정의학과
코로나 증상,목에 뭐가 낀것같구   콧물도 나오고  열도 뜨끈뜨끈하구여 저 빼고 가족이 다 걸렸어여  목이 너무 불편한데 신속항원검사랑 자가키트는 음성이 나왔어요 어떻게해야하져   학교 가는게 맞는거죠  너무 많이 빠져서   ,가정의학과,오래 앉아있을때 다리 저림,의자에서는 거의 안그런데 화장실에 좀 오래 앉아있다보면   분 이상  한쪽다리에만 쥐가 심하게 납니다 발이 제일 저리고 종아리까지 느낌이 무뎌져요 차가워지고요   혈액순환에 문제가 있는건가요  골반이 틀어져서 그럴까요   병원을 가봐야하는지 모르겠습니다 ,가정의학과
코로나 목 부음, 일전에 코로나 확진을 받았습니다 약도 잘 챙겨 먹었는데 목 부음이 도대체 낫지 않네요   목이 너무 심하게 부어서 침을 삼킬때도 너무 고통스럽고 밥도 못먹습니다 목 부음 심할때 어떻게 해야되나요  해결책이 없을까요  약도 안듣는것 같아서 그래요   살려주세요 내공    걸어요   ,가정의학과,코로나 메스꺼움,제가 코로나에 걸렸는데 증상보니까 메스꺼움 구토 증세가 있던데요 제가 토하는걸 굉장히 싫어하는데 메스까움이 발생하는 이유가 두통이나 인후통 때문인가요   ,가정의학과
배우자 확진 코로나 잠복기,배우자가 저번주 금요일 코로나 확진되었습니다  그래서 금요일에 병원에 방문하여 코로나 검사 받았는데 음성 나왔구요 토요일에도 방문하여 검사했는데 음성나왔습니다  월요일에 병원 방문하여 코로나 검사했는데 음성 나왔구요  오늘 화요일 병원 방문하여 코로나 검사하였는데 양성나왔습니다      이렇게 잠복기간이 긴 경우가 흔한가요  억울하네요     회사에서는 금요일부터 나오지 말라해서 출근 못하고 있었는데요  오늘 감염 확진받아서  일을 더 쉬라고 합니다   제가 하는 일이 거의 반 프리랜서  이런 개념이라 일을 쉬면 급여가 주는데요     마누라 땜에 나오지 말라고 하는 것도 월급이 줄어서 화가 많이 낫는데  확진이라  일을 더 쉬라고 합니다     ,가정의학과,코로나 초기 증상,어제 코로나 확진자랑 밀접접촉을 했는데요 오늘 아침부터 목에 가래가 끼고 침 삼킬 때마다 목이 따끔거리고 심장이 빨리 뛰어요 잠도   시간이나 잤는데 방금까지  시간이나 더 잤어요  몸도 조금 무겁고요 코로나 초기 증상인가요  자가키트 해보긴 했는데 음성 나왔어요,가정의학과
가슴이 답답함,숨을 크게 들이쉬거나 딸꾹질 하거나 웃거나 하면 뼈가 아픈느낌인데 왜이런가요,가정의학과,목 아픔  가래,확진자랑 키스 하고 같은 공간에서도 확진자 나왓는데 저는 자가키트 네 번 했는데 음성 떳어요 그리고 인후통이랑 가래같은 침도 나와요 키트에서 음성 나오면 학교 나와야 한다는데 그냥 가면 되겟죠   ,가정의학과
성대결절 초기 증상인가요 ,매일 코노 한 번 가면   곡 이상 거의 한 달 정도 불렀어요  많이 부를 땐 코노  번도 가고 그랬는데 아무 증상 없다가 갑자기 어제부터 원래 올라가던 음이 목에 걸리면서 안 올라가고  억지로 올리면 내려올 때 쉽게 내려왔던 게 대부분이 공기소리  숨소리  로만 나와요   노래 부르고 가만히 있으면 목이 아주 살짝 엄청 조금 아프긴 한데 코노가 제 대학생활 낙인데  성대결절 초기증상인가요 ,가정의학과,오미크론 확진 후 기운없음 관련 질문입니다   ,  대인 엄마가 코로나 확진 판정을 받았는데  기운없음과 속 메스꺼움이 해결이안됩니다 비대면 진료로 병원에서 약 처방을 받았는데 그걸 먹어도 기운없음과 메스꺼움은 도저히 나아지질 않아요 뭘 어떡해야 할지 모르겠습니다       기운이 없는건 어떻게 해결을 해야하나요  기가 계속 빠지고 온몸에 힘이 빠지고 없대요    기운이없어서 식욕도 없어서 밥도 못먹고 죽만 먹고 있네요   죽도 겨우 먹습니다  다른 증상은 거의 없거나 미미하고 기운없음 메스꺼움 설사 이 세가지가 너무 심하셔요     엄마가 너무 힘들어합니다  기운없음을 해결할 방안이 있을까요   ,가정의학과
음식이 코로 올라와요   ,음식이 코로 올라와요    한 두번이 아니고  밥을 먹을때 마다 그렇습니다    밥을 먹으면  밥풀이 코로 올라와서 심한 재채기를 여러번 하고  코를 여러번 풀어야지 안정이 되요    귀에서 진물이 조금씩 나오는데  연관이 있을까요   ,가정의학과,생활치료센터 입소,만약 집에   대 이상 고위험군인 분과 같이 살고 있는데   살 관리대상x 이 코로나 확진 받으면 생활치료센터로 격리 들어갈 수 있나요   고위험군과 같이 살고 있어서 감염 우려의 이유로요     집이 좁고 환기가 잘 안되기도 하고  화장실이 한개라서요       거주지역은 평택입니다  이러한 이유로 입소 가능한 지 여쭤봐도 괜찮을까요 ,가정의학과
자려고 눈감았는데 숨이 잘 안쉬어지고 가슴 살짝 아픔 답답,자려고 눈을 감았는데 숨이 시원하게 잘 안 쉬어지고 가슴이 살짝 아프고 답답한 느낌이 있어요 못 자겠네요,가정의학과,코로나 잠복기,제가 토요일에 코로나 걸린 친구하고 놀았는데 물론 마스크는 안 벗었어요 그래서 일요일에 자가키트로 검사해보니깐 음성이 나왔습니다 어제는     였고 목만 조금 아팠는데 오늘은   도까지 올라가고 목이 걸걸해지고 아픕니다 그리고 오늘 자가키트 해봤는데 음성 나왔고요 이거 코로나 인가요    ,가정의학과
항히스타민,비염으로 인해 항히스타민을  달정도 복용했는데 입안이 바짝마르네요  부작용같은데 치료법은 어찌되나요  완치 안되나요    너무 힘드네요,가정의학과,갑상선수치요 ,Tsh      t       t       갑상선수치가 이렇게나왔는데  개월전에는 정상범위였는데 갑자기 이럴수 있을까요  채혈때 몸이않좋았고 전날 힘나라고 링겔맞은게 영향이있을수 있을까요 ,가정의학과
발톱 좀 봐주세요 어디 부딪힌 기억은 없고 통증도 없습니다  근데 이게  주일전부터 보이다가 점점 진해지는거같아요   뭘까요  병원은 어디로 가,발톱 좀 봐주세요  어디 부딪힌 기억은 없고 통증도 없습니다  근데 이게  주일전부터 보이다가 점점 진해지는거같아요   뭘까요  병원은 어디로 가야되나요,가정의학과,발가락 까만점  흑색종 ,안녕하세요   주 전 부터 발톱에 작은 까만 점이 보여 어디에 찍힌줄 알고 신경안썼는데  또하나가 발견됐어요  뭐죠 이게     알려주세요 ,가정의학과
종아리가 허벅지만큼 두꺼워서 스트레스,종아리가 허벅지만큼 두꺼워서 스트레스에요    만져보면 살인거 같기도 하고 잘 모르겠네요 아무튼 너무 스트레스 받는데 종아리 어떻게 살을 빼는게 좋을까요 ,가정의학과,오미크론 목아픔 증상만 있을수 있나요 ,주말에 확진자랑 밥을 먹었는데 가만히 있을때 콕콕 찌르는것 처럼 너무 아파서 자가키트  번 했는데 음성 나왔고 병원가서 신속항원검사 했는데 음성 나왔는데 혹시 몰라서 의사 소견서 갖고 PCR검사 하고는 왔는데 낼 결과를 봐야 알겠지만 원래 오미크론이 점점 목이 더 아파지고 귀까지 아파질수 있나요  그리고 잠복기에는 음성이 나오고 몇일뒤 확진되신분도 계신가요 ,가정의학과
자가키트 양성 자국,키트 돌렸는데 엄청 희미하게 육안으론 거의 안보이고 사진으론 좀 더 확실하게 보이는 양성 줄 있는데 원래 키트에 양성 자국이 있나요 ,가정의학과,가습기 틀면 기침,최근 오미크론에 걸렸다가 자가격리 풀린지 일주일쯤 됬습니다 걸린 뒤부터 목구멍과 입안  입술이 너무 건조해서 깨는 일이 너무 빈번해서 작은 가습기를 구매했습니다 세척 후 가동시켜 얼굴 가까히 대고 호흡했더니 기침이 너무 나요  생각해보니 코로나가 터지기 전에도 감기로 인해 병원에 내원했을때 이따금씩 가습기와 흡사한 기계 에서 나오는 수중기 같은걸 코와 입으로 들이마시라고 했었는데 그때도 항상 기침이 나왔어요 무슨 치료인지 명칭을 모르겠어요   이런 증상이 왜 나타나는지   혹시 무슨 병같은건 아닌거죠     호흡기랑 기관지 쪽이 좀 좋지않긴 합니다 천식 유무는 모르겠으나 비염 등을 달고사는 사람이긴 한데   그럼 촉촉한 가습기가 더더욱 좋은거 아닌지    왜 그런건지 궁금합니다,가정의학과
안녕하세요  예방접종 수두 a형 b형 간염  관련 질문드립니다 ,내년 병원 실습으로 인해 예방접종을 해야합니다   수두 a형 b형 예방 접종  당일 날 동시에 맞아도 되나요  궁금합니다 감사합니다 ,가정의학과,금단후증상으로 열이나는게 있나요  금연  일차인데 열이나고 오한이 나네요  시기가 시기인지라 금단후 오는 증상중에 열과오한이 있는지요    혹시,금단후증상으로 열이나는게 있나요  금연  일차인데 열이나고 오한이 나네요  시기가 시기인지라 금단후 오는 증상중에 열과오한이 있는지요    혹시 오미크론 코로나일까 걱정도됩니다만 다른통증은 없고 열과오한만 있어서요  답변부탁드립니다 ,가정의학과
익상견갑  너무 스트레스 받습니다 ,제가 익상견갑이 있는것을 모르고 팔굽혀펴기 턱걸이등 운동을 진행하였는데 몸이 좌측으로 틀어지고 좌측어깨가 더 발달했군요 더군다나 익상견갑이 있다는것을 인지하고 나서는 오른쪽 날개뼈가 너무 불편하게 느껴지기 시작했습니다  이런경우 어떻게 고쳐야 하나요   오른쪽 날개뼈가 너무 거슬리는게 스트레스입니다    ,가정의학과,산소포화도 맥박수,제 아는 지인이 양성인데 산소는 정상으로 나오고   맥박은 어제는   나오다가 갑자기 오늘은    나오면서 깜빡깜빡 거린다는데 괜찮은 건가요   그리고 수영 다닐 때도 원래 심박수가   대 나왔었대요,가정의학과
배꼽 아래 불편감,  세 여자구요 저번달 생리는   일에 했는데 원래 한달주긴데 어제 안해서 좀 불안하고    요즘 갑자기 배꼽 아래쪽에 장기 라고 해야하나 암튼 배꼽 아래 장기가 있을만한 곳에 불편감이 느껴진다고 하면 알아들으시려나요    뭔가 안쪽에 아프진않고 뭔가 불편한 느낌이 들어서요   생리도 안하고 좀 많이 불안하네요 관계 그런건 안해서 임신같은 건 아닌것 같은데   배꼽아래에 무슨 장기가 있죠     왜 이러는 걸까요   도와주세여 병원을 간다면 무슨 병원을 가야하죠  그리고 암 같은 건 아니겠죠    ,가정의학과,이게 무슨 흉터인가요 ,어렸을때 부터 계속 있던 흉인데요 갑자기 궁금해져서요 제 기억으로는    살때부터 있었던 같아요 어깨에 있는 흉입니다,가정의학과
고등학생 살,고등학교 다니는 남자입니다 제가 키가     정도 되는데   키로도 되지 않습니다 좀 건강하게 살 찌는 방법 이런거 아시는 분 좀 알려주세요   너무 스트레스 입니다,가정의학과,가족 코로나 확진,한 집에 같이사는 가족 중 한 명이 코로나 확진되면 그 사람은 어디서 자가격리하나요  화장실이 하나면 어쩔 수 없이 같이 쓰나요    ,가정의학과
